session id;operation;latency;nb inputs
6;gradients/BiasAdd_grad/tuple/control_dependency_1;19555;2
6;gradients/Add_1_grad/BroadcastGradientArgs;18036;2
6;gradients/Add_grad/tuple/control_dependency;17932;2
6;Slice_2;17758;3
6;gradients/Add_grad/Sum_1;17448;2
6;gradients/dropout/div_grad/Sum_1;16901;2
6;gradients/Add_1_grad/tuple/control_dependency;16603;2
6;gradients/Add_1_grad/tuple/control_dependency_1;15986;2
6;gradients/dropout/mul_grad/tuple/control_dependency;15916;2
6;gradients/Mean_grad/Tile;15672;2
6;gradients/Add_grad/tuple/control_dependency_1;15414;2
6;gradients/Add_1_grad/Sum_1;15151;2
6;gradients/dropout/div_grad/tuple/control_dependency;15030;2
6;Conv2D_1;15027;2
6;dropout/mul;14663;2
6;gradients/Add_grad/Reshape_1;14328;2
6;MaxPool;13659;1
6;gradients/dropout/div_grad/Reshape_1;13387;2
6;gradients/Reshape_4_grad/Shape;13257;1
6;MaxPool_1;13138;1
6;Conv2D;13024;2
6;gradients/Add_1_grad/Reshape_1;12980;2
6;Relu;12854;1
6;gradients/BiasAdd_grad/BiasAddGrad;12132;1
6;gradients/dropout/mul_grad/Reshape;12131;2
6;gradients/Relu_1_grad/ReluGrad;11986;2
6;gradients/MatMul_1_grad/MatMul;11620;2
6;gradients/Conv2D_grad/Conv2DBackpropInput;11535;3
6;gradients/Reshape_1_grad/Shape;11302;1
6;gradients/dropout/mul_grad/Reshape_1;11235;2
6;Add;11181;2
6;Relu_1;11133;1
6;Adam/update_Variable_2/ApplyAdam;11007;10
6;gradients/BiasAdd_1_grad/BiasAddGrad;10909;1
6;dropout/Floor;10640;1
6;gradients/MatMul_grad/MatMul;10452;2
6;gradients/Conv2D_1_grad/Conv2DBackpropInput;10395;3
6;dropout/add;10300;2
6;gradients/dropout/mul_grad/mul;10022;2
6;gradients/MaxPool_grad/MaxPoolGrad;9687;3
6;gradients/Reshape_1_grad/Reshape;9457;2
6;gradients/Add_grad/Sum;9417;2
6;gradients/dropout/div_grad/BroadcastGradientArgs;8789;2
6;gradients/Reshape_4_grad/Reshape;8413;2
6;gradients/Reshape_2_grad/Reshape;8191;2
6;gradients/Mean_grad/truediv;7692;2
6;MatMul;7321;2
6;Reshape_2;7037;2
6;SoftmaxCrossEntropyWithLogits;6739;2
6;Reshape_3;6569;2
6;gradients/dropout/div_grad/RealDiv;6411;2
6;concat_1;6316;3
6;gradients/Add_1_grad/Sum;6206;2
6;Slice_1;6150;3
6;concat;5924;3
6;Adam/update_Variable/ApplyAdam;5313;10
6;gradients/SoftmaxCrossEntropyWithLogits_grad/ExpandDims;5266;2
6;gradients/Mean_grad/Shape;5266;1
6;gradients/SoftmaxCrossEntropyWithLogits_grad/mul;4949;2
6;gradients/Relu_2_grad/ReluGrad;4261;2




